pid,local_id,parent,mods_genre_ms,Title
harleyspiller:29337,16-18-24,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49311,16-18-24,info:fedora/harleyspiller:MetadataReview11,menus,Mr. Chow
harleyspiller:29313,16-18-25,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49325,16-18-25,info:fedora/harleyspiller:MetadataReview11,menus,New Dragón
harleyspiller:29370,16-18-26,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49362,16-18-26,info:fedora/harleyspiller:MetadataReview11,menus,Yan's Garden Sushi Bar
harleyspiller:29340,16-18-27,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49383,16-18-27,info:fedora/harleyspiller:MetadataReview11,menus,Yan's Garden
harleyspiller:29358,16-18-28,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49368,16-18-28,info:fedora/harleyspiller:MetadataReview11,menus,Yan Yan Express
harleyspiller:29380,16-18-29,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49356,16-18-29,info:fedora/harleyspiller:MetadataReview11,menus,Yan Yan Express
harleyspiller:29367,16-18-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49314,16-18-3,info:fedora/harleyspiller:MetadataReview11,menus,China Garden
harleyspiller:29377,16-18-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49308,16-18-4,info:fedora/harleyspiller:MetadataReview11,menus,China House
harleyspiller:29355,16-18-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
