local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
314.0,Carte_Turche_272,Fera Anton,,undetermined,,,
311.0,Carte_Turche_272,Francovan,,undetermined,,,
312.0,Carte_Turche_272,Marko Anton,,undetermined,,,
310.0,Carte_Turche_272,zikr olunan kadılıklarda olan Boğazhisarı ve sair kalelerin Dizdarları,delete,Addressee,,,
315.0,Carte_Turche_274,Halil Paşa,,undetermined,,,
317.0,Carte_Turche_275,Venedikden Südde-i Saadetime gelince derya muhafazasında olan kapudanlar,delete,Addressee,,,
318.0,Carte_Turche_275,Venedikden Südde-i Saadetime gelince kale Dizdarları,delete,Addressee,,,
316.0,Carte_Turche_275,Venedikden Südde-i Saadetime gelince zikr olunan sancaklarda olan Kadılar,delete,Addressee,,,
319.0,Carte_Turche_276,Südde-i Saadetime gelince yol üzerinde olan Sancakbeyleri,delete,Addressee,,,
320.0,Carte_Turche_276,ve zikr olunan sancaklarda olan Kadılar,delete,undetermined,,,
321.0,Carte_Turche_277,eyalet-i mezburede olan sancaklarda ve südde-i saadetime gelince yol üzerinde olan sancakbeyleri,delete,Addressee,,,
322.0,Carte_Turche_277,Zikr olunan sancaklarda olan Kadılar,delete,Addressee,,,
324.0,Carte_Turche_278,Hüseyin Çavuş,,,,,
323.0,Carte_Turche_278,"Kapudan Hal, il Paşa",Halil Paşa - Kapudan,Sender,,,
327.0,Carte_Turche_280,Alimi,,,,,
